z,sigma_0_2,sigma_1_0,sigma_2_0
-1.66,-0.23163791243410037,1.3778,2.070947180559945
-1.65,-0.24818791243410043,1.3612499999999998,2.054397180559945
-1.64,-0.2646379124341005,1.3447999999999998,2.037947180559945
-1.63,-0.2809879124341004,1.32845,2.021597180559945
-1.6199999999999999,-0.29723791243410047,1.3121999999999998,2.005347180559945
-1.6099999999999999,-0.3133879124341006,1.2960499999999997,1.989197180559945
-1.5999999999999999,-0.3294379124341005,1.2799999999999998,1.9731471805599452
-1.59,-0.34538791243410016,1.2640500000000001,1.9571971805599455
-1.58,-0.3612379124341001,1.2482000000000002,1.9413471805599456
-1.57,-0.37698791243410024,1.23245,1.9255971805599454
-1.56,-0.3926379124341002,1.2168,1.9099471805599455
-1.55,-0.40818791243410013,1.2012500000000002,1.8943971805599453
-1.54,-0.4236379124341003,1.1858,1.8789471805599454
-1.53,-0.4389879124341003,1.17045,1.8635971805599452
-1.52,-0.4542379124341003,1.1552,1.8483471805599452
-1.51,-0.4693879124341003,1.14005,1.8331971805599454
-1.5,-0.4844379124341003,1.125,1.8181471805599454
-1.49,-0.4993879124341003,1.11005,1.8031971805599452
-1.48,-0.5142379124341003,1.0952,1.7883471805599451
-1.47,-0.5289879124341004,1.08045,1.7735971805599453
-1.46,-0.5436379124341004,1.0657999999999999,1.7589471805599453
-1.45,-0.5581879124341003,1.05125,1.7443971805599454
-1.44,-0.5726379124341003,1.0368,1.7299471805599453
-1.43,-0.5869879124341004,1.0224499999999999,1.715597180559945
-1.42,-0.6012379124341003,1.0082,1.7013471805599454
-1.41,-0.6153879124341004,0.9940499999999999,1.687197180559945
-1.4,-0.6294379124341004,0.9799999999999999,1.6731471805599452
-1.39,-0.6433879124341004,0.9660499999999999,1.659197180559945
-1.38,-0.6572379124341005,0.9521999999999998,1.645347180559945
-1.3699999999999999,-0.6709879124341004,0.9384499999999999,1.6315971805599452
-1.3599999999999999,-0.6846379124341004,0.9247999999999998,1.6179471805599452
-1.3499999999999999,-0.6981879124341005,0.9112499999999998,1.604397180559945
-1.3399999999999999,-0.7116379124341005,0.8977999999999998,1.590947180559945
-1.33,-0.7249879124341002,0.8844500000000001,1.5775971805599454
-1.32,-0.7382379124341002,0.8712000000000001,1.5643471805599454
-1.31,-0.7513879124341002,0.8580500000000001,1.5511971805599454
-1.3,-0.7644379124341002,0.8450000000000001,1.5381471805599454
-1.29,-0.7773879124341002,0.8320500000000001,1.5251971805599454
-1.28,-0.7902379124341002,0.8192,1.5123471805599453
-1.27,-0.8029879124341003,0.80645,1.4995971805599453
-1.26,-0.8156379124341002,0.7938000000000001,1.4869471805599455
-1.25,-0.8281879124341003,0.78125,1.4743971805599454
-1.24,-0.8406379124341002,0.7688,1.4619471805599453
-1.23,-0.8529879124341003,0.75645,1.4495971805599452
-1.22,-0.8652379124341003,0.7442,1.4373471805599451
-1.21,-0.8773879124341003,0.73205,1.4251971805599453
-1.2,-0.8894379124341003,0.72,1.4131471805599451
-1.19,-0.9013879124341003,0.70805,1.4011971805599452
-1.18,-0.9132379124341004,0.6961999999999999,1.389347180559945
-1.17,-0.9249879124341004,0.6844499999999999,1.3775971805599452
-1.16,-0.9366379124341003,0.6728,1.3659471805599452
-1.15,-0.9481879124341004,0.6612499999999999,1.3543971805599453
-1.14,-0.9596379124341003,0.6497999999999999,1.3429471805599453
-1.13,-0.9709879124341004,0.6384499999999999,1.3315971805599451
-1.1199999999999999,-0.9822379124341004,0.6271999999999999,1.3203471805599452
-1.1099999999999999,-0.9933879124341004,0.6160499999999999,1.3091971805599452
-1.0999999999999999,-1.0044379124341005,0.6049999999999999,1.2981471805599452
-1.0899999999999999,-1.0153879124341003,0.5940499999999999,1.2871971805599451
-1.08,-1.0262379124341003,0.5832,1.2763471805599453
-1.07,-1.0369879124341002,0.57245,1.2655971805599453
-1.06,-1.0476379124341002,0.5618000000000001,1.2549471805599453
-1.05,-1.0581879124341003,0.55125,1.2443971805599454
-1.04,-1.0686379124341001,0.5408000000000001,1.2339471805599453
-1.03,-1.0789879124341004,0.53045,1.2235971805599453
-1.02,-1.0892379124341003,0.5202,1.2133471805599454
-1.01,-1.0993879124341004,0.51005,1.2031971805599453
-1.0,-1.1094379124341003,0.5,1.1931471805599454
-0.9899999999999998,-1.1193879124341004,0.49004999999999976,1.183197180559945
-0.98,-1.1292379124341003,0.48019999999999996,1.1733471805599454
-0.9699999999999998,-1.1389879124341005,0.47044999999999976,1.163597180559945
-0.96,-1.1486379124341002,0.4608,1.1539471805599453
-0.9500000000000002,-1.1581879124341001,0.45125000000000015,1.1443971805599453
-0.94,-1.1676379124341003,0.44179999999999997,1.1349471805599451
-0.9300000000000002,-1.1769879124341,0.43245000000000017,1.1255971805599454
-0.9199999999999999,-1.1862379124341005,0.4231999999999999,1.1163471805599452
-0.9100000000000001,-1.1953879124341,0.41405000000000014,1.1071971805599454
-0.8999999999999999,-1.2044379124341003,0.4049999999999999,1.0981471805599452
-0.8900000000000001,-1.2133879124341003,0.3960500000000001,1.0891971805599454
-0.8799999999999999,-1.2222379124341003,0.38719999999999993,1.0803471805599452
-0.8700000000000001,-1.2309879124341,0.3784500000000001,1.0715971805599454
-0.8599999999999999,-1.2396379124341004,0.3697999999999999,1.062947180559945
-0.8500000000000001,-1.2481879124341002,0.36125000000000007,1.0543971805599455
-0.8399999999999999,-1.2566379124341003,0.3527999999999999,1.0459471805599452
-0.8300000000000001,-1.2649879124341004,0.34445000000000003,1.0375971805599453
-0.8199999999999998,-1.2732379124341004,0.3361999999999999,1.0293471805599452
-0.81,-1.2813879124341003,0.32805000000000006,1.0211971805599453
-0.7999999999999998,-1.2894379124341004,0.31999999999999984,1.0131471805599452
-0.79,-1.2973879124341003,0.31205000000000005,1.0051971805599453
-0.7799999999999998,-1.3052379124341005,0.30419999999999986,0.9973471805599452
-0.77,-1.3129879124341004,0.29645,0.9895971805599453
-0.7599999999999998,-1.3206379124341003,0.28879999999999983,0.9819471805599451
-0.75,-1.3281879124341003,0.28125,0.9743971805599453
-0.7399999999999998,-1.3356379124341005,0.2737999999999998,0.9669471805599451
-0.73,-1.3429879124341002,0.26644999999999996,0.9595971805599453
-0.7199999999999998,-1.3502379124341004,0.2591999999999998,0.952347180559945
-0.71,-1.3573879124341004,0.25205,0.9451971805599453
-0.6999999999999997,-1.3644379124341004,0.2449999999999998,0.9381471805599451
-0.69,-1.3713879124341004,0.23804999999999996,0.9311971805599453
-0.6800000000000002,-1.3782379124341002,0.2312000000000001,0.9243471805599454
-0.6699999999999999,-1.3849879124341002,0.22444999999999996,0.9175971805599452
-0.6600000000000001,-1.3916379124341,0.2178000000000001,0.9109471805599454
-0.6499999999999999,-1.3981879124341003,0.21124999999999994,0.9043971805599452
