split,seed,architecture,score_source,decision,budget,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,Actuator Outputs,25,0,0.0,2,0.7446180683333333,2.6859407326450833,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,Actuator Outputs+Controls,42,0,0.0,4,1.2128293091666666,3.298073331315183,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,Position.X,145,23,0.15862068965517243,32,2.3575775725,13.573254332440424,28.959788000000003,73.86537400000002
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,Position.Y,96,15,0.15625,24,1.713746643611111,14.004403795317458,21.363367866666678,48.987712000000045
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,Position.Z,121,0,0.0,2,1.5845958772222224,1.2621514600340726,,
split_00,0,dense_ae,dense_ae_rankpct,cusum,critical,Velocity,2,2,1.0,0,0.0036470161111110933,0.0,23.020158500000036,23.99349600000005
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,Actuator Controls,17,0,0.0,2,0.5114270366666666,3.9106262606596265,,
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,Actuator Outputs,25,3,0.12,15,0.7446180683333333,20.144555494838123,20.98849199999997,38.040696999999966
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,Actuator Outputs+Controls,42,3,0.07142857142857142,17,1.2128293091666666,14.016811658089527,20.98849199999997,38.040696999999966
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,Battery,2,0,0.0,2,0.06345890611111113,31.516458800884003,,
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,Position.X,145,79,0.5448275862068965,144,2.3575775725,61.0796444959819,4.713393367088609,30.583275
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,Position.Y,96,35,0.3645833333333333,111,1.713746643611111,64.77036755334325,12.152263057142854,167.98227799999995
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,Position.Z,121,8,0.06611570247933884,41,1.5845958772222224,25.874104930698486,4.639269249999998,13.011123999999995
split_00,0,dense_ae,dense_ae_rankpct,threshold,advisory,Velocity,2,2,1.0,1,0.0036470161111110933,274.1967596340949,4.01408749999996,4.066699999999969
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,Actuator Controls,17,0,0.0,2,0.5114270366666666,3.9106262606596265,,
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,Actuator Outputs,25,1,0.04,11,0.7446180683333333,14.772674029547957,2.9485919999999624,2.9485919999999624
split_00,0,dense_ae,dense_ae_rankpct,k_of_n,advisory,Actuator Outputs+Controls,42,1,0.023809523809523808,13,1.2128293091666666,10.718738326774345,2.9485919999999624,2.9485919999999624
