split,seed,score_source,channel,allocation,decision,budget,channel_budget_per_hour,annotation_category,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Position.X,54,0,0.0,0,0.9378571405555555,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Position.Y,55,0,0.0,0,1.0971975144444444,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Position.Z,113,0,0.0,0,1.4244670750000001,0.0,,
split_00,0,existing_fusion,sistem,dengeli,k_of_n,critical,1.33,Velocity,2,0,0.0,0,0.0036470161111110933,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Actuator Controls,16,0,0.0,0,0.5049052622222222,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Actuator Outputs,25,0,0.0,0,0.7446180683333333,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Actuator Outputs+Controls,41,0,0.0,0,1.206307534722222,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Actuator Thrust,2,0,0.0,0,0.06510427361111108,0.0,,
split_00,0,itki_komutu,mekanik,dengeli,k_of_n,critical,0.67,Battery,2,0,0.0,0,0.06345890611111113,0.0,,
