split,seed,architecture,score_source,decision,budget,flight_label,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_02,2,usad,usad_relerr,threshold,critical,mechanical_fault,43,2,0.046511627906976744,9,1.299568493888889,6.925375647625915,1.9844985000000008,3.9689970000000017
split_02,2,usad,usad_relerr,threshold,critical,normal,0,0,,91,28.125436730277777,3.235505314021883,,
split_02,2,usad,usad_relerr,k_of_n,critical,altitude_anomaly,114,0,0.0,2,1.4421181852777778,1.3868488868786881,,
split_02,2,usad,usad_relerr,k_of_n,critical,external_position_anomaly,185,37,0.2,93,2.7663557002777774,33.618236436717666,8.899862270270262,33.02845399999998
split_02,2,usad,usad_relerr,k_of_n,critical,global_position_anomaly,51,8,0.1568627450980392,21,0.6878973927777778,30.52780868263002,7.761984999999996,22.983828999999957
split_02,2,usad,usad_relerr,k_of_n,critical,mechanical_fault,43,1,0.023255813953488372,8,1.299568493888889,6.1558894645563695,0.966417999999976,0.966417999999976
split_02,2,usad,usad_relerr,k_of_n,critical,normal,0,0,,49,28.125436730277777,1.7421951690887063,,
split_02,2,usad,usad_relerr,cusum,critical,altitude_anomaly,114,1,0.008771929824561403,1,1.4421181852777778,0.6934244434393441,35.07483500000001,35.07483500000001
split_02,2,usad,usad_relerr,cusum,critical,external_position_anomaly,185,24,0.12972972972972974,28,2.7663557002777774,10.121619572345105,25.19912683333332,76.12675899999999
split_02,2,usad,usad_relerr,cusum,critical,global_position_anomaly,51,17,0.3333333333333333,34,0.6878973927777778,49.42597596235337,16.41102135294118,44.94966500000004
split_02,2,usad,usad_relerr,cusum,critical,mechanical_fault,43,3,0.06976744186046512,25,1.299568493888889,19.237154576738654,3.997978666666635,5.998731999999961
split_02,2,usad,usad_relerr,cusum,critical,normal,0,0,,240,28.125436730277777,8.533200828189582,,
split_02,2,usad,usad_relerr,threshold,advisory,altitude_anomaly,114,7,0.06140350877192982,25,1.4421181852777778,17.335611085983604,5.60448314285714,24.99839300000002
split_02,2,usad,usad_relerr,threshold,advisory,external_position_anomaly,185,71,0.3837837837837838,196,2.7663557002777774,70.85133700641573,7.139215000000002,50.08316300000001
split_02,2,usad,usad_relerr,threshold,advisory,global_position_anomaly,51,5,0.09803921568627451,50,0.6878973927777778,72.68525876816672,2.2305530000000005,4.050720999999996
split_02,2,usad,usad_relerr,threshold,advisory,mechanical_fault,43,12,0.27906976744186046,116,1.299568493888889,89.26039723606736,13.586255416666662,33.97825399999999
split_02,2,usad,usad_relerr,threshold,advisory,normal,0,0,,975,28.125436730277777,34.666128364520176,,
split_02,2,usad,usad_relerr,k_of_n,advisory,altitude_anomaly,114,6,0.05263157894736842,34,1.4421181852777778,23.5764310769377,4.338714500000006,9.965688999999998
split_02,2,usad,usad_relerr,k_of_n,advisory,external_position_anomaly,185,51,0.2756756756756757,140,2.7663557002777774,50.608097861725525,9.477134980392155,47.066843000000006
split_02,2,usad,usad_relerr,k_of_n,advisory,global_position_anomaly,51,6,0.11764705882352941,42,0.6878973927777778,61.05561736526004,3.551598166666667,6.111601000000007
split_02,2,usad,usad_relerr,k_of_n,advisory,mechanical_fault,43,5,0.11627906976744186,55,1.299568493888889,42.32174006882504,9.02840999999998,24.017493
split_02,2,usad,usad_relerr,k_of_n,advisory,normal,0,0,,443,28.125436730277777,15.750866528699936,,
split_02,2,usad,usad_relerr,cusum,advisory,altitude_anomaly,114,2,0.017543859649122806,20,1.4421181852777778,13.868488868786882,0.0,0.0
split_02,2,usad,usad_relerr,cusum,advisory,external_position_anomaly,185,42,0.22702702702702704,114,2.7663557002777774,41.2094511159765,11.349860499999995,33.060280000000006
split_02,2,usad,usad_relerr,cusum,advisory,global_position_anomaly,51,31,0.6078431372549019,61,0.6878973927777778,88.6760156971634,11.538486741935477,35.015664999999984
split_02,2,usad,usad_relerr,cusum,advisory,mechanical_fault,43,8,0.18604651162790697,77,1.299568493888889,59.25043609635505,10.746478125000003,22.983899000000008
split_02,2,usad,usad_relerr,cusum,advisory,normal,0,0,,879,28.125436730277777,31.25284803324434,,
split_02,2,usad,usad_rankpct,threshold,critical,altitude_anomaly,114,1,0.008771929824561403,7,1.4421181852777778,4.853971104075408,24.99839300000002,24.99839300000002
split_02,2,usad,usad_rankpct,threshold,critical,external_position_anomaly,185,64,0.34594594594594597,128,2.7663557002777774,46.27026090214905,10.267537296875002,62.948477000000025
split_02,2,usad,usad_rankpct,threshold,critical,global_position_anomaly,51,4,0.0784313725490196,5,0.6878973927777778,7.268525876816671,30.051482250000003,75.07794200000001
