pair,flight_count
KHUA->KVPS,1
KHVN->KDMA,1
KHVN->KNEL,1
KHYA->KBAF,1
KHYA->KGON,1
KHYA->KIAG,1
KISO->KZZV,1
KISP->KBDR,1
KIWA->KADW,1
KIWA->KHMN,1
KIAG->KBUF,1
KIAH->KTPL,1
KICT->KDAY,1
KICT->KIAB,1
KICT->MMMX,1
KIKK->KBAK,1
KILG->KDOV,1
KILG->KMXF,1
KILG->KSGF,1
KILM->KEWN,1
KILM->KNCA,1
KILM->KNKT,1
KLAR->KCYS,1
KLAS->KDRA,1
KLAW->KFSI,1
KLAW->KFTW,1
KLAW->KOKC,1
KIND->KGUS,1
KINT->KDAA,1
KIPL->KJAN,1
KIPL->KNZY,1
KIPL->KTUS,1
KISM->KLAL,1
KISO->KADW,1
KISO->KEWN,1
KISO->KMTN,1
KISO->KNCA,1
KISO->KNYG,1
EIWT->LSZG,1
EKKA->EKSV,1
KLFI->KNHK,1
KLGB->KSLI,1
KLIT->KFBG,1
KLIT->KFSM,1
KLOU->KSDF,1
KIWA->KHUA,1
KIWA->KTUS,1
KJAN->KTCL,1
KJAX->KNIP,1
KJAX->KNRB,1
KJAX->KSGJ,1
KJAX->RODN,1
KJQF->ETAR,1
KLAN->KGRR,1
KLBB->KCVN,1
KLCK->PHIK,1
KLEX->KAVL,1
KLEX->KDXR,1
KLEX->KHOP,1
ENRY->ENGM,1
ENTO->ENZV,1
ENZV->ENRY,1
EPGD->EDDC,1
EPGD->EDDS,1
EPGD->EPPO,1
EPGD->EYKA,1
EPGD->EYPP,1
EPKK->EPLL,1
EIWT->EIDW,1
EIWT->LPSO,1
KMHR->KSVR,1
KLRD->KNJK,1
KLRF->KGTF,1
KLRF->KMCF,1
KLRF->KNFW,1
KLSF->KBIX,1
KLSF->KMGE,1
KLSV->KTCM,1
KMAF->KMHR,1
KMCF->KLAL,1
KMCF->KNIP,1
KMCF->KOFF,1
KMCF->KPIE,1
KMCF->KSRQ,1
KMCN->KNTD,1
KMCN->KRIV,1
KMOB->KMGE,1
KMOB->KPGV,1
KMCN->PHIK,1
KMDT->KADW,1
KMDT->KHOP,1
KMEM->EDFM,1
KMFD->KLCK,1
KMGE->KFTY,1
KMGE->KMGW,1
KMGE->KPDK,1
KMGM->KMXF,1
KMGW->KBGR,1
KMHK->KFRI,1
KMHR->ETAR,1
KMHR->KMSP,1
KMHR->KSLI,1
KMUI->KMDT,1
KMUO->KOKB,1
KMYV->KMCE,1
KNCA->KDCA,1
KNCA->KGSB,1
KNCA->KHSV,1
KMHT->KGON,1
KMHV->KEND,1
KMHV->KSWO,1
KMIV->KILG,1
KMIV->KSGH,1
KMIV->KWRI,1
KMKC->KSZL,1
KMMT->KCUB,1
KMMT->KMYR,1
KMMT->KPDK,1
KMTC->CYZR,1
KMTN->KILG,1
KMUI->KGON,1
KMUI->KGTB,1
EKMB->EDBN,1
EKSP->EKRK,1
EKSV->EKYT,1
EKVJ->EKKA,1
EKYT->BGGH,1
EKYT->EGUN,1
EKYT->EKKA,1
ENAT->ENTC,1
ENAT->ENZV,1
EHEH->ETNW,1
EHGR->EGNC,1
EHGR->EHEH,1
KNGP->KABY,1
KNGP->KALI,1
KNGP->KNQI,1
KNGP->KSWO,1
KNCA->KNGU,1
KNCA->KNKT,1
KNCA->KTEB,1
KNEL->KABE,1
KNEL->KADW,1
KNEL->KBFI,1
KNEL->KDOV,1
KNEL->KILG,1
KNEL->KILM,1
KNEL->KNKT,1
KNEL->KOQU,1
KNEL->KTCM,1
