feature,category,auc,separation,q99_abs_ratio,n_pos,n_neg,pos_nonnull_frac,neg_nonnull_frac
gps_speed_residual_cusum_pos,ping_dos,0.4717792995290635,0.5282207004709365,1.0804231043488626,29200,25071,1.0,1.0
hdop_cusum_pos,gps_jamming,0.9706999210848785,0.9706999210848785,1.0579359710763947,1106,25071,1.0,1.0
hdop_cusum_pos,gps_spoofing,0.4892402646819676,0.5107597353180324,0.4986986223995708,24269,25071,1.0,1.0
hdop_cusum_pos,ping_dos,0.4754497227872841,0.524550277212716,0.0,29200,25071,1.0,1.0
noise_per_ms_cusum_pos,gps_jamming,0.9734162933868176,0.9734162933868176,1.275974636753196,1106,25071,1.0,1.0
noise_per_ms_cusum_pos,gps_spoofing,0.4892069734283121,0.5107930265716879,0.4704061576865174,24269,25071,1.0,1.0
noise_per_ms_cusum_pos,ping_dos,0.4754497227872841,0.524550277212716,0.0,29200,25071,1.0,1.0
gps_frozen_count,gps_jamming,0.5,0.5,0.0,1106,25071,1.0,1.0
gps_frozen_count,gps_spoofing,0.5,0.5,0.0,24269,25071,1.0,1.0
gps_frozen_count,ping_dos,0.5,0.5,0.0,29200,25071,1.0,1.0
attitude_missing,gps_jamming,0.5,0.5,0.0,1106,25071,1.0,1.0
attitude_missing,gps_spoofing,0.5,0.5,0.0,24269,25071,1.0,1.0
attitude_missing,ping_dos,0.680222602739726,0.680222602739726,4503599627370496.0,29200,25071,1.0,1.0
battery_missing,gps_jamming,0.41063380000797733,0.5893661999920227,0.0,1106,25071,1.0,1.0
battery_missing,gps_spoofing,0.5029532198439821,0.5029532198439821,1.0,24269,25071,1.0,1.0
battery_missing,ping_dos,0.5000002383641418,0.5000002383641418,1.0,29200,25071,1.0,1.0
gps_health_missing,gps_jamming,0.784578415744133,0.784578415744133,1.0,1106,25071,1.0,1.0
gps_health_missing,gps_spoofing,0.6479166015111504,0.6479166015111504,1.0,24269,25071,1.0,1.0
gps_health_missing,ping_dos,0.4853017430497387,0.5146982569502613,0.0,29200,25071,1.0,1.0
num_missing_groups,gps_jamming,0.6952122157521103,0.6952122157521103,1.0,1106,25071,1.0,1.0
num_missing_groups,gps_spoofing,0.629367367782671,0.629367367782671,2.0,24269,25071,1.0,1.0
num_missing_groups,ping_dos,0.6400328437101646,0.6400328437101646,2.0,29200,25071,1.0,1.0
attitude_stale_count,gps_jamming,0.5,0.5,0.0,1106,25071,1.0,1.0
attitude_stale_count,gps_spoofing,0.5,0.5,0.0,24269,25071,1.0,1.0
attitude_stale_count,ping_dos,0.6801883561643836,0.6801883561643836,3.1854005200387785e+19,29200,25071,1.0,1.0
attitude_stale_s,gps_jamming,0.5,0.5,0.0,1106,25071,1.0,1.0
attitude_stale_s,gps_spoofing,0.5,0.5,0.0,24269,25071,1.0,1.0
attitude_stale_s,ping_dos,0.6801883561643836,0.6801883561643836,6.3708010400781e+18,29200,25071,1.0,1.0
is_moving,gps_jamming,0.11318600202549534,0.8868139979745047,1.0,1106,25071,1.0,1.0
is_moving,gps_spoofing,0.4050909221428926,0.5949090778571073,1.0,24269,25071,1.0,1.0
is_moving,ping_dos,0.5691716593367986,0.5691716593367986,1.0,29200,25071,1.0,1.0
